,U3_Day001,U3_Day009,U3_Day017,U3_Day023,U3_Day059,U3_Day087,U3_Day122,U3_Input2FT,U3_Input2RT,U2_20140711FC,U2_20140711HT,U2_20140711LW,U2_20140716FC,U2_20141010,U2_20141011,U2_20141012,U2_20141016,U2_20141018,U2_20141020,U2_20141022,U2_20141029,U2_20141105,U2_20141119,U2_20141203,U2_20141217,U2_20150107,U2_20150205,U2_20150514
U3_Input2RT_scaffold_4218_4,0,0,2,0,0,0,0,3,168,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
U3_Input2RT_scaffold_44380_2,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_44711_2,7,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_562_24,0,0,0,0,3,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_7128_1,6,0,5,0,686,0,0,0,11234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_731_22,180,3,0,0,0,0,0,0,500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U3_Input2RT_scaffold_73679_3,4,36,0,0,50,11,0,0,779,0,0,0,0,1,3,29,129,464,320,560,0,1,3,1,5,8,13,8
U2_20140711FC_scaffold_10699_4,0,0,0,0,0,0,0,31,1,41,33,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U2_20140711FC_scaffold_12339_4,0,0,0,0,0,0,0,0,3,80,39,108,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
U2_20140711FC_scaffold_12660_1,3,0,5,6,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U2_20140711FC_scaffold_130912_1,0,0,0,0,0,0,0,6,1,100,65,53,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U2_20140711FC_scaffold_1499_10,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U2_20140711FC_scaffold_15403_9,15,0,13,6,0,0,0,1,2,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
